,run,sample,assembler,contigs,basepairs,max_contig,n50,mapped_reads,Ns,misassembled contigs,misassembly events,filtered_contigs,filtered_basepairs,filtered_n50,filtered_Ns,filtered_mapped_reads,distribution,type,algorythm
17,run1,LNN,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
18,run1,LNN,metaSPAdes,6700.0,15514698.0,850099.0,220609.0,99.79800262381985,0.0,1.0,3.0,139.0,13692577.0,239185.0,0.0,99.59185535406934,Log,Metagenomic,Multiple k-mer De Bruijn graph
19,run1,LNN,MINIA,15001.0,16401090.0,177038.0,26474.0,99.01062146966359,0.0,2.0,4.0,762.0,13501498.0,33550.0,0.0,97.53450955324315,Log,Genomic,Single k-mer De Bruijn graph
20,run1,LNN,SKESA,9514.0,8202941.0,59272.0,1155.0,95.10132973879378,0.0,12.0,23.0,1433.0,4470092.0,7385.0,0.0,91.7664250905952,Log,Genomic,Multiple k-mer De Bruijn graph
21,run1,LNN,SPAdes,7331.0,15606257.0,632639.0,122703.0,99.7139092641346,0.0,0.0,0.0,227.0,13640340.0,136684.0,0.0,99.59185535406934,Log,Genomic,Multiple k-mer De Bruijn graph
22,run1,LNN,Unicycler,185.0,11719230.0,847534.0,242687.0,99.22649328850362,0.0,0.0,0.0,112.0,11691061.0,242687.0,0.0,98.60565666661482,Log,Genomic,Multiple k-mer De Bruijn graph
23,run1,LNN,VelvetOptimiser,69092.0,19638608.0,15999.0,520.0,93.22914027250731,4932.0,0.0,0.0,3016.0,7334025.0,2913.0,0.0,79.99659938696142,Log,Genomic,Multiple k-mer De Bruijn graph
24,run1,ERR2935805,ABySS,677860.0,78728532.0,88665.0,101.0,91.83437689391157,9.0,0.0,0.0,356.0,3150980.0,18568.0,0.0,79.02965162658158,Log,Genomic,Single k-mer De Bruijn graph
26,run1,ERR2935805,GATBMiniaPipeline,6777.0,17126362.0,542997.0,56759.0,89.404632029572,0.0,0.0,0.0,603.0,13891328.0,90989.0,0.0,88.89627530439364,Log,Metagenomic,Multiple k-mer De Bruijn graph
27,run1,ERR2935805,IDBA-UD,14155.0,23586883.0,632213.0,51161.0,89.80083187280428,0.0,3.0,5.0,2725.0,17534580.0,113853.0,0.0,89.22549252179786,Log,Metagenomic,Multiple k-mer De Bruijn graph
28,run1,ERR2935805,MEGAHIT,14172.0,24498566.0,768410.0,82249.0,89.76422395852465,0.0,1.0,2.0,3044.0,18552996.0,210993.0,0.0,89.5023865859721,Log,Metagenomic,Multiple k-mer De Bruijn graph
29,run1,ERR2935805,MetaHipMer2,11966.0,15029970.0,14760.0,1515.0,84.33199875407027,0.0,0.0,0.0,5038.0,10264085.0,2170.0,0.0,73.95949469809817,Log,Metagenomic,Multiple k-mer De Bruijn graph
30,run1,ERR2935805,metaSPAdes,26282.0,27822010.0,622107.0,3674.0,89.92625377951288,0.0,3.0,7.0,3392.0,18792639.0,87983.0,0.0,89.36811192160285,Log,Metagenomic,Multiple k-mer De Bruijn graph
31,run1,ERR2935805,MINIA,37300.0,20758864.0,163543.0,7485.0,87.67858366246936,0.0,2.0,3.0,1466.0,13448666.0,18038.0,0.0,84.2442990655339,Log,Genomic,Single k-mer De Bruijn graph
32,run1,ERR2935805,SKESA,8822.0,8818742.0,29155.0,1431.0,78.66255748464859,0.0,0.0,0.0,2889.0,5801439.0,2148.0,0.0,62.71003347866463,Log,Genomic,Multiple k-mer De Bruijn graph
33,run1,ERR2935805,SPAdes,36214.0,29517365.0,847683.0,1972.0,87.24435323366495,0.0,572.0,1148.0,4999.0,19595813.0,55465.0,0.0,57.92940845118595,Log,Genomic,Multiple k-mer De Bruijn graph
34,run1,ERR2935805,Unicycler,205.0,9747587.0,847580.0,256884.0,88.05619365539616,0.0,0.0,0.0,144.0,9725301.0,256884.0,0.0,87.47524306302446,Log,Genomic,Multiple k-mer De Bruijn graph
35,run1,ERR2935805,VelvetOptimiser,525998.0,47958628.0,2044.0,88.0,1.3863560659202114,0.0,0.0,0.0,340.0,409222.0,1180.0,0.0,0.020348067141638875,Log,Genomic,Multiple k-mer De Bruijn graph
36,run1,ERR2984773,ABySS,497797.0,91697404.0,297881.0,139.0,84.62474551064675,149.0,2.0,4.0,1205.0,30632246.0,52698.0,7.0,80.60005479339169,Even,Genomic,Single k-mer De Bruijn graph
38,run1,ERR2984773,GATBMiniaPipeline,5398.0,32809725.0,768462.0,102115.0,83.1443450749858,0.0,1.0,2.0,761.0,30564396.0,113162.0,0.0,82.2253777175741,Even,Metagenomic,Multiple k-mer De Bruijn graph
39,run1,ERR2984773,IDBA-UD,20194.0,39779384.0,303329.0,20993.0,83.67148390953467,0.0,4.0,7.0,2654.0,31562690.0,29134.0,0.0,81.3092786473886,Even,Metagenomic,Multiple k-mer De Bruijn graph
40,run1,ERR2984773,MEGAHIT,20614.0,41166407.0,1205839.0,88308.0,84.22373163940485,0.0,15.0,31.0,1447.0,32021766.0,149841.0,0.0,82.83488306209239,Even,Metagenomic,Multiple k-mer De Bruijn graph
41,run1,ERR2984773,MetaHipMer2,19356.0,13184199.0,2964.0,659.0,25.512982357415677,0.0,0.0,0.0,1310.0,1601911.0,1175.0,0.0,3.970853421303247,Even,Metagenomic,Multiple k-mer De Bruijn graph
42,run1,ERR2984773,metaSPAdes,61644.0,48964620.0,473277.0,42332.0,84.32610786740455,0.0,2.0,3.0,1689.0,31967753.0,95101.0,0.0,82.04081709307968,Even,Metagenomic,Multiple k-mer De Bruijn graph
43,run1,ERR2984773,MINIA,68012.0,41187744.0,117945.0,7060.0,80.64661893244853,0.0,0.0,0.0,3983.0,28278246.0,15817.0,0.0,74.36380080382611,Even,Genomic,Single k-mer De Bruijn graph
44,run1,ERR2984773,SKESA,1352.0,30430077.0,446163.0,76924.0,81.25416655711403,0.0,0.0,0.0,846.0,30211740.0,77870.0,0.0,80.50855415445794,Even,Genomic,Multiple k-mer De Bruijn graph
45,run1,ERR2984773,SPAdes,39819.0,46535940.0,745370.0,53292.0,84.20443330213502,0.0,9.0,18.0,2049.0,32500826.0,99299.0,0.0,81.16951793766506,Even,Genomic,Multiple k-mer De Bruijn graph
46,run1,ERR2984773,Unicycler,895.0,30592960.0,882182.0,191424.0,82.3136799886088,0.0,2.0,4.0,425.0,30432114.0,191424.0,0.0,81.59809354509034,Even,Genomic,Multiple k-mer De Bruijn graph
47,run1,ERR2984773,VelvetOptimiser,652127.0,57130377.0,1702.0,85.0,1.7689990736115186,733.0,0.0,0.0,48.0,55137.0,1113.0,0.0,0.007438197231397136,Even,Genomic,Multiple k-mer De Bruijn graph
48,run1,ENN,ABySS,4769.0,31513997.0,952616.0,86573.0,99.7875305580615,3879.0,7.0,12.0,1823.0,30746773.0,89282.0,2328.0,98.9238064799139,Even,Genomic,Single k-mer De Bruijn graph
50,run1,ENN,GATBMiniaPipeline,1100.0,30440762.0,632215.0,90346.0,99.34034538263963,0.0,3.0,6.0,814.0,30273320.0,90988.0,0.0,98.46251320606792,Even,Metagenomic,Multiple k-mer De Bruijn graph
51,run1,ENN,IDBA-UD,1822.0,30390566.0,585610.0,63725.0,99.34369740763834,0.0,17.0,34.0,1279.0,30130413.0,65108.0,0.0,97.92286563649662,Even,Metagenomic,Multiple k-mer De Bruijn graph
52,run1,ENN,MEGAHIT,814.0,30545419.0,632274.0,178381.0,99.6938445894219,0.0,9.0,18.0,525.0,30420265.0,179870.0,0.0,99.38807047880121,Even,Metagenomic,Multiple k-mer De Bruijn graph
53,run1,ENN,MetaHipMer2,882.0,30378611.0,468359.0,99990.0,98.72645245121238,0.0,0.0,0.0,718.0,30264835.0,102049.0,0.0,97.94685338754849,Even,Metagenomic,Multiple k-mer De Bruijn graph
54,run1,ENN,metaSPAdes,640.0,30453778.0,1036942.0,238611.0,99.53005064801643,0.0,2.0,6.0,359.0,30383186.0,238611.0,0.0,98.91725039706415,Even,Metagenomic,Multiple k-mer De Bruijn graph
55,run1,ENN,MINIA,16570.0,30641337.0,161812.0,17820.0,97.18783883054051,0.0,0.0,0.0,3589.0,28205937.0,20628.0,0.0,92.93370935200178,Even,Genomic,Single k-mer De Bruijn graph
56,run1,ENN,SKESA,2322.0,30110758.0,630384.0,42115.0,98.31339077645647,0.0,10.0,19.0,1726.0,29835112.0,43168.0,0.0,97.42446675485509,Even,Genomic,Multiple k-mer De Bruijn graph
57,run1,ENN,SPAdes,1140.0,30442718.0,850138.0,204481.0,99.4194395141032,0.0,3.0,6.0,444.0,30276227.0,204481.0,0.0,98.56125282190423,Even,Genomic,Multiple k-mer De Bruijn graph
58,run1,ENN,Unicycler,936.0,30263458.0,847534.0,204463.0,99.08819228990998,0.0,0.0,0.0,443.0,30093081.0,208953.0,0.0,97.9328875652279,Even,Genomic,Multiple k-mer De Bruijn graph
59,run1,ENN,VelvetOptimiser,10924.0,30526881.0,847809.0,30453.0,97.12531701961385,8788.0,8.0,11.0,2994.0,28485306.0,34664.0,8283.0,93.1009748303329,Even,Genomic,Multiple k-mer De Bruijn graph
60,run1,LHS,ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Genomic,Single k-mer De Bruijn graph
62,run1,LHS,GATBMiniaPipeline,989.0,13638625.0,632215.0,90987.0,97.17088166234576,0.0,2.0,6.0,762.0,13507672.0,91722.0,0.0,96.80510565273623,Log,Metagenomic,Multiple k-mer De Bruijn graph
63,run1,LHS,IDBA-UD,1025.0,13791669.0,632213.0,99726.0,97.18581605263294,0.0,2.0,5.0,568.0,13601126.0,106347.0,0.0,96.95702834337587,Log,Metagenomic,Multiple k-mer De Bruijn graph
64,run1,LHS,MEGAHIT,767.0,13843596.0,632250.0,171359.0,97.28648912564816,0.0,0.0,0.0,327.0,13671964.0,171540.0,0.0,97.14734538939089,Log,Metagenomic,Multiple k-mer De Bruijn graph
65,run1,LHS,MetaHipMer2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Log,Metagenomic,Multiple k-mer De Bruijn graph
66,run1,LHS,metaSPAdes,2099.0,14157309.0,917728.0,193256.0,97.26786896086999,0.0,1.0,3.0,184.0,13672885.0,196786.0,0.0,97.18295816622955,Log,Metagenomic,Multiple k-mer De Bruijn graph
67,run1,LHS,MINIA,24654.0,15334799.0,163543.0,7727.0,91.09595490535399,0.0,0.0,0.0,2171.0,12920975.0,10582.0,0.0,81.98918803245121,Log,Genomic,Single k-mer De Bruijn graph
68,run1,LHS,SKESA,36.0,2957060.0,632013.0,351027.0,92.22844099976099,0.0,0.0,0.0,21.0,2950393.0,351027.0,0.0,92.00038605508651,Log,Genomic,Multiple k-mer De Bruijn graph
69,run1,LHS,SPAdes,31040.0,16214591.0,263645.0,46478.0,95.50347428671587,0.0,1.0,2.0,1526.0,13087777.0,69361.0,0.0,77.08148626483488,Log,Genomic,Multiple k-mer De Bruijn graph
70,run1,LHS,Unicycler,264.0,13324149.0,847572.0,192888.0,96.9745352495514,0.0,5.0,10.0,243.0,13315624.0,192888.0,0.0,96.40605627732344,Log,Genomic,Multiple k-mer De Bruijn graph
71,run1,LHS,VelvetOptimiser,185614.0,22242266.0,17566.0,175.0,9.675074413759065,0.0,0.0,0.0,3237.0,6701756.0,2177.0,0.0,2.5582557250970006,Log,Genomic,Multiple k-mer De Bruijn graph
72,run2,ERR2984773,ABySS,497783.0,91720949.0,298093.0,139.0,84.62360161038393,147.0,2.0,6.0,1196.0,30657287.0,52869.0,5.0,80.63107099454785,Even,Genomic,Single k-mer De Bruijn graph
74,run2,ERR2984773,GATBMiniaPipeline,5397.0,32809112.0,768462.0,102115.0,83.14435076603188,0.0,1.0,2.0,761.0,30564302.0,113162.0,0.0,82.22544031908102,Even,Metagenomic,Multiple k-mer De Bruijn graph
75,run2,ERR2984773,IDBA-UD,20164.0,39773020.0,303329.0,20993.0,83.65942458288332,0.0,4.0,7.0,2654.0,31562690.0,29134.0,0.0,81.30931848471118,Even,Metagenomic,Multiple k-mer De Bruijn graph
76,run2,ERR2984773,MEGAHIT,20614.0,41166407.0,1205839.0,88308.0,84.22373163940485,0.0,15.0,32.0,1447.0,32021766.0,149841.0,0.0,82.83492859046106,Even,Metagenomic,Multiple k-mer De Bruijn graph
77,run2,ERR2984773,MetaHipMer2,19361.0,13180259.0,2964.0,659.0,25.500211650003852,0.0,0.0,0.0,1308.0,1599587.0,1175.0,0.0,3.9476168801434968,Even,Metagenomic,Multiple k-mer De Bruijn graph
78,run2,ERR2984773,metaSPAdes,61644.0,48964620.0,473277.0,42332.0,84.32610786740455,0.0,2.0,3.0,1689.0,31967753.0,95101.0,0.0,82.04081709307968,Even,Metagenomic,Multiple k-mer De Bruijn graph
79,run2,ERR2984773,MINIA,67974.0,41185696.0,117945.0,7106.0,80.64855957916308,0.0,0.0,0.0,3980.0,28279162.0,15930.0,0.0,74.36670892837488,Even,Genomic,Single k-mer De Bruijn graph
80,run2,ERR2984773,SKESA,1352.0,30430077.0,446163.0,76924.0,81.25416655711403,0.0,0.0,0.0,846.0,30211740.0,77870.0,0.0,80.50855415445794,Even,Genomic,Multiple k-mer De Bruijn graph
81,run2,ERR2984773,SPAdes,39819.0,46535940.0,745370.0,53292.0,84.20443330213502,0.0,9.0,18.0,2049.0,32500826.0,99299.0,0.0,81.16951793766506,Even,Genomic,Multiple k-mer De Bruijn graph
82,run2,ERR2984773,Unicycler,895.0,30592960.0,882182.0,191424.0,82.3136799886088,0.0,2.0,4.0,425.0,30432114.0,191424.0,0.0,81.59809354509034,Even,Genomic,Multiple k-mer De Bruijn graph
83,run2,ERR2984773,VelvetOptimiser,565911.0,52039194.0,1293.0,88.0,2.630680361144679,246.0,0.0,0.0,16.0,17473.0,1116.0,0.0,0.0025951170141676316,Even,Genomic,Multiple k-mer De Bruijn graph
84,run2,ENN,ABySS,4778.0,31503127.0,952618.0,86573.0,99.78768990729743,3884.0,8.0,14.0,1825.0,30734590.0,89282.0,2328.0,98.92368127694282,Even,Genomic,Single k-mer De Bruijn graph
86,run2,ENN,GATBMiniaPipeline,1100.0,30440762.0,632215.0,90346.0,99.34027709010994,0.0,3.0,6.0,814.0,30273320.0,90988.0,0.0,98.46255873442105,Even,Metagenomic,Multiple k-mer De Bruijn graph
87,run2,ENN,IDBA-UD,1822.0,30390566.0,585610.0,63725.0,99.34123318552554,0.0,17.0,34.0,1279.0,30130413.0,65108.0,0.0,97.92286563649662,Even,Metagenomic,Multiple k-mer De Bruijn graph
88,run2,ENN,MEGAHIT,814.0,30545419.0,632274.0,178381.0,99.6938445894219,0.0,9.0,18.0,525.0,30420265.0,179870.0,0.0,99.38807616984533,Even,Metagenomic,Multiple k-mer De Bruijn graph
89,run2,ENN,MetaHipMer2,883.0,30378729.0,468359.0,99990.0,98.72658334522761,0.0,0.0,0.0,719.0,30264953.0,102049.0,0.0,97.94632412044344,Even,Metagenomic,Multiple k-mer De Bruijn graph
90,run2,ENN,metaSPAdes,640.0,30453778.0,1036942.0,238611.0,99.53005064801643,0.0,2.0,6.0,359.0,30383186.0,238611.0,0.0,98.91725039706415,Even,Metagenomic,Multiple k-mer De Bruijn graph
91,run2,ENN,MINIA,16570.0,30641357.0,161812.0,17820.0,97.18807785439441,0.0,0.0,0.0,3589.0,28205939.0,20628.0,0.0,92.93368089678108,Even,Genomic,Single k-mer De Bruijn graph
92,run2,ENN,SKESA,2322.0,30110758.0,630384.0,42115.0,98.31339077645647,0.0,10.0,19.0,1726.0,29835112.0,43168.0,0.0,97.42446675485509,Even,Genomic,Multiple k-mer De Bruijn graph
93,run2,ENN,SPAdes,1140.0,30442718.0,850138.0,204481.0,99.4194395141032,0.0,3.0,6.0,444.0,30276227.0,204481.0,0.0,98.56125282190423,Even,Genomic,Multiple k-mer De Bruijn graph
94,run2,ENN,Unicycler,936.0,30263458.0,847534.0,204463.0,99.08819228990998,0.0,0.0,0.0,443.0,30093081.0,208953.0,0.0,97.9328875652279,Even,Genomic,Multiple k-mer De Bruijn graph
95,run2,ENN,VelvetOptimiser,10924.0,30526881.0,847809.0,30453.0,97.12531701961385,8788.0,8.0,11.0,2994.0,28485306.0,34664.0,8283.0,93.1009748303329,Even,Genomic,Multiple k-mer De Bruijn graph
96,run2,EMS,ABySS,32430.0,34563847.0,841100.0,124246.0,98.6346162273276,882.0,2.0,3.0,498.0,30988173.0,138706.0,612.0,98.12075483724469,Even,Genomic,Single k-mer De Bruijn graph
98,run2,EMS,GATBMiniaPipeline,943.0,30509406.0,768585.0,121957.0,98.9432699711521,0.0,1.0,1.0,657.0,30343348.0,122545.0,0.0,98.14123690277479,Even,Metagenomic,Multiple k-mer De Bruijn graph
99,run2,EMS,IDBA-UD,1829.0,30408932.0,468323.0,61704.0,98.64223653456426,0.0,13.0,22.0,1254.0,30145929.0,63178.0,0.0,97.29899661212181,Even,Metagenomic,Multiple k-mer De Bruijn graph
100,run2,EMS,MEGAHIT,979.0,30599129.0,768640.0,171540.0,99.05324938664779,0.0,10.0,21.0,518.0,30418717.0,171540.0,0.0,98.64731863640321,Even,Metagenomic,Multiple k-mer De Bruijn graph
101,run2,EMS,MetaHipMer2,884.0,30381152.0,468375.0,106383.0,98.02945342649193,0.0,0.0,0.0,712.0,30262824.0,106637.0,0.0,97.25179509739367,Even,Metagenomic,Multiple k-mer De Bruijn graph
102,run2,EMS,metaSPAdes,761.0,30482042.0,917726.0,208969.0,98.77395004515843,0.0,1.0,3.0,365.0,30402517.0,208969.0,0.0,98.28335364087353,Even,Metagenomic,Multiple k-mer De Bruijn graph
103,run2,EMS,MINIA,16748.0,30648944.0,161812.0,17967.0,95.93575267180265,0.0,0.0,0.0,3574.0,28218335.0,20782.0,0.0,92.15708190606705,Even,Genomic,Single k-mer De Bruijn graph
104,run2,EMS,SKESA,1269.0,30249132.0,632013.0,73839.0,97.9525332826451,0.0,9.0,18.0,891.0,30064811.0,74138.0,0.0,97.23735122900929,Even,Genomic,Multiple k-mer De Bruijn graph
105,run2,EMS,SPAdes,2628.0,30664883.0,850176.0,206515.0,98.70005184540622,0.0,0.0,0.0,412.0,30354786.0,208991.0,0.0,98.28335364087353,Even,Genomic,Multiple k-mer De Bruijn graph
106,run2,EMS,Unicycler,656.0,30301867.0,1303875.0,245050.0,98.45713534496545,0.0,0.0,0.0,334.0,30188943.0,245050.0,0.0,97.60986417186496,Even,Genomic,Multiple k-mer De Bruijn graph
107,run2,EMS,VelvetOptimiser,11069.0,30526291.0,847777.0,29176.0,95.85054636863052,4383.0,6.0,11.0,3035.0,28467054.0,33291.0,4383.0,92.22203947649228,Even,Genomic,Multiple k-mer De Bruijn graph
108,run3,ENN,ABySS,4770.0,31513837.0,952618.0,86573.0,99.78753624910566,3880.0,7.0,12.0,1822.0,30746324.0,89282.0,2328.0,98.92381217095806,Even,Genomic,Single k-mer De Bruijn graph
110,run3,ENN,GATBMiniaPipeline,1100.0,30440762.0,632215.0,90346.0,99.34033969159549,0.0,3.0,6.0,814.0,30273320.0,90988.0,0.0,98.46281483140737,Even,Metagenomic,Multiple k-mer De Bruijn graph
111,run3,ENN,IDBA-UD,1822.0,30390566.0,585610.0,63725.0,99.34118196612826,0.0,18.0,36.0,1279.0,30130413.0,65108.0,0.0,97.92288270962905,Even,Metagenomic,Multiple k-mer De Bruijn graph
112,run3,ENN,MEGAHIT,814.0,30545419.0,632274.0,178381.0,99.6938445894219,0.0,9.0,18.0,525.0,30420265.0,179870.0,0.0,99.38811031611019,Even,Metagenomic,Multiple k-mer De Bruijn graph
113,run3,ENN,MetaHipMer2,883.0,30378707.0,468359.0,99990.0,98.72646383330067,0.0,0.0,0.0,719.0,30264931.0,102049.0,0.0,97.94687615172506,Even,Metagenomic,Multiple k-mer De Bruijn graph
114,run3,ENN,metaSPAdes,640.0,30453778.0,1036942.0,238611.0,99.53005064801643,0.0,2.0,6.0,359.0,30383186.0,238611.0,0.0,98.91725039706415,Even,Metagenomic,Multiple k-mer De Bruijn graph
115,run3,ENN,MINIA,16570.0,30641333.0,161812.0,17820.0,97.18818029318894,0.0,0.0,0.0,3589.0,28205937.0,20628.0,0.0,92.93366382364866,Even,Genomic,Single k-mer De Bruijn graph
116,run3,ENN,SKESA,2322.0,30110758.0,630384.0,42115.0,98.31339077645647,0.0,10.0,19.0,1726.0,29835112.0,43168.0,0.0,97.42446675485509,Even,Genomic,Multiple k-mer De Bruijn graph
117,run3,ENN,SPAdes,1140.0,30442718.0,850138.0,204481.0,99.4194395141032,0.0,3.0,6.0,444.0,30276227.0,204481.0,0.0,98.56125282190423,Even,Genomic,Multiple k-mer De Bruijn graph
118,run3,ENN,Unicycler,936.0,30263458.0,847534.0,204463.0,99.08819228990998,0.0,0.0,0.0,443.0,30093081.0,208953.0,0.0,97.9328875652279,Even,Genomic,Multiple k-mer De Bruijn graph
119,run3,ENN,VelvetOptimiser,10924.0,30526881.0,847809.0,30453.0,97.12531701961385,8788.0,8.0,11.0,2994.0,28485306.0,34664.0,8283.0,93.1009748303329,Even,Genomic,Multiple k-mer De Bruijn graph
120,run3,EMS,ABySS,32428.0,34563647.0,841100.0,124246.0,98.63457069897964,881.0,2.0,3.0,497.0,30988165.0,138706.0,612.0,98.12070361785325,Even,Genomic,Single k-mer De Bruijn graph
122,run3,EMS,GATBMiniaPipeline,943.0,30509406.0,768585.0,121957.0,98.94331549950005,0.0,1.0,1.0,657.0,30343348.0,122545.0,0.0,98.14127674007923,Even,Metagenomic,Multiple k-mer De Bruijn graph
123,run3,EMS,IDBA-UD,1829.0,30408932.0,468323.0,61704.0,98.6422137703903,0.0,13.0,22.0,1254.0,30145929.0,63178.0,0.0,97.29904214046975,Even,Metagenomic,Multiple k-mer De Bruijn graph
124,run3,EMS,MEGAHIT,979.0,30599036.0,768640.0,171540.0,99.05324938664779,0.0,10.0,21.0,518.0,30418624.0,171540.0,0.0,98.64727310805527,Even,Metagenomic,Multiple k-mer De Bruijn graph
125,run3,EMS,MetaHipMer2,885.0,30381792.0,468375.0,106383.0,98.03828023494904,0.0,0.0,0.0,712.0,30262824.0,106637.0,0.0,97.25187477200257,Even,Metagenomic,Multiple k-mer De Bruijn graph
126,run3,EMS,metaSPAdes,761.0,30482042.0,917726.0,208969.0,98.77395004515843,0.0,1.0,3.0,365.0,30402517.0,208969.0,0.0,98.28335364087353,Even,Metagenomic,Multiple k-mer De Bruijn graph
127,run3,EMS,MINIA,16749.0,30649850.0,161812.0,17967.0,95.93166081153142,0.0,0.0,0.0,3574.0,28218370.0,20782.0,0.0,92.15722987319785,Even,Genomic,Single k-mer De Bruijn graph
128,run3,EMS,SKESA,1269.0,30249132.0,632013.0,73839.0,97.9525332826451,0.0,9.0,18.0,891.0,30064811.0,74138.0,0.0,97.23735122900929,Even,Genomic,Multiple k-mer De Bruijn graph
129,run3,EMS,SPAdes,2628.0,30664883.0,850176.0,206515.0,98.70005184540622,0.0,0.0,0.0,412.0,30354786.0,208991.0,0.0,98.28335364087353,Even,Genomic,Multiple k-mer De Bruijn graph
130,run3,EMS,Unicycler,656.0,30301867.0,1303875.0,245050.0,98.45713534496545,0.0,0.0,0.0,334.0,30188943.0,245050.0,0.0,97.60986417186496,Even,Genomic,Multiple k-mer De Bruijn graph
131,run3,EMS,VelvetOptimiser,11069.0,30526291.0,847777.0,29176.0,95.85054636863052,4383.0,6.0,11.0,3035.0,28467054.0,33291.0,4383.0,92.22203947649228,Even,Genomic,Multiple k-mer De Bruijn graph
132,run3,ERR2984773,ABySS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
134,run3,ERR2984773,GATBMiniaPipeline,5400.0,32810830.0,768462.0,102115.0,83.14441336753879,0.0,1.0,2.0,761.0,30564352.0,113162.0,0.0,82.22542893698885,Even,Metagenomic,Multiple k-mer De Bruijn graph
135,run3,ERR2984773,IDBA-UD,20189.0,39778575.0,303329.0,20993.0,83.67110830049315,0.0,4.0,7.0,2654.0,31562689.0,29134.0,0.0,81.30918759065125,Even,Metagenomic,Multiple k-mer De Bruijn graph
